Start,Finish,Steps,Distance,Weight
11/26/2016 0:00,11/27/2016 0:00,293,0.131324688,
11/27/2016 0:00,11/28/2016 0:00,1283,0.582187525,
11/28/2016 0:00,11/29/2016 0:00,1316,0.573164071,
11/29/2016 0:00,11/30/2016 0:00,2067,0.913379318,
11/30/2016 0:00,12/1/2016 0:00,991,0.415274795,
12/1/2016 0:00,12/2/2016 0:00,1175,0.508265958,
12/2/2016 0:00,12/3/2016 0:00,1749,0.754698809,
12/3/2016 0:00,12/4/2016 0:00,2946,1.319823481,
12/4/2016 0:00,12/5/2016 0:00,1287,0.565333824,
12/5/2016 0:00,12/6/2016 0:00,3120,1.413807886,
12/6/2016 0:00,12/7/2016 0:00,659,0.283227203,
12/7/2016 0:00,12/8/2016 0:00,717,0.317427474,
12/8/2016 0:00,12/9/2016 0:00,396,0.17019357,
12/9/2016 0:00,12/10/2016 0:00,850,0.360577012,
12/10/2016 0:00,12/11/2016 0:00,4853,2.225103167,
12/11/2016 0:00,12/12/2016 0:00,1466,0.606432207,
12/12/2016 0:00,12/13/2016 0:00,855,0.363328164,
12/13/2016 0:00,12/14/2016 0:00,689,0.299625189,
12/14/2016 0:00,12/15/2016 0:00,1031,0.449419142,
12/15/2016 0:00,12/16/2016 0:00,622,0.271532997,
12/16/2016 0:00,12/17/2016 0:00,1702,0.730739671,
12/17/2016 0:00,12/18/2016 0:00,347,0.144313459,
12/18/2016 0:00,12/19/2016 0:00,1039,0.461574978,
12/19/2016 0:00,12/20/2016 0:00,899,0.393657291,
12/20/2016 0:00,12/21/2016 0:00,718,0.305416368,
12/21/2016 0:00,12/22/2016 0:00,2279,0.980155227,
12/22/2016 0:00,12/23/2016 0:00,568,0.233436729,
12/23/2016 0:00,12/24/2016 0:00,2199,1.015570771,
12/24/2016 0:00,12/25/2016 0:00,56,0.021915762,
12/25/2016 0:00,12/26/2016 0:00,865,0.384367792,
12/26/2016 0:00,12/27/2016 0:00,2243,1.001833875,
12/27/2016 0:00,12/28/2016 0:00,1986,0.819893074,
12/28/2016 0:00,12/29/2016 0:00,670,0.298177394,
12/29/2016 0:00,12/30/2016 0:00,1016,0.451500736,
12/30/2016 0:00,12/31/2016 0:00,1404,0.61916661,
12/31/2016 0:00,1/1/2017 0:00,646.8381337,0.270643388,
1/1/2017 0:00,1/2/2017 0:00,1659.161866,0.766425817,
